date,sku_id,region,units_sold,price,promotion
2024-01-01,SKU1,Bangalore,120,10,1
2024-01-01,SKU2,Delhi,80,15,0
2024-01-02,SKU1,Bangalore,140,10,1
2024-01-02,SKU2,Delhi,60,15,0
2024-01-03,SKU3,Mumbai,200,20,1
2024-01-03,SKU1,Chennai,90,10,0
2024-01-04,SKU2,Delhi,75,15,1
2024-01-04,SKU3,Mumbai,210,20,1
2024-01-05,SKU1,Bangalore,130,10,0
2024-01-05,SKU2,Hyderabad,95,15,1
2024-01-06,SKU3,Mumbai,180,20,0
2024-01-06,SKU1,Chennai,110,10,1
2024-01-07,SKU2,Delhi,85,15,0
2024-01-07,SKU3,Kolkata,220,20,1
2024-01-08,SKU1,Bangalore,150,10,1
2024-01-08,SKU2,Hyderabad,100,15,1
2024-01-09,SKU3,Mumbai,190,20,0
2024-01-09,SKU1,Chennai,105,10,0
2024-01-10,SKU2,Delhi,70,15,0
2024-01-10,SKU3,Kolkata,230,20,1
2024-01-11,SKU1,Bangalore,160,10,1
2024-01-11,SKU2,Hyderabad,110,15,1
2024-01-12,SKU3,Mumbai,210,20,1
2024-01-12,SKU1,Chennai,115,10,0
2024-01-13,SKU2,Delhi,90,15,0
2024-01-13,SKU3,Kolkata,240,20,1
2024-01-14,SKU1,Bangalore,170,10,1
2024-01-14,SKU2,Hyderabad,105,15,0
2024-01-15,SKU3,Mumbai,200,20,0
